Latitude,Longitude,Timescale,Model,Forecast Start,Forecast End,1% Quantile,2% Quantile,5% Quantile,10% Quantile,15% Quantile,20% Quantile,25% Quantile,30% Quantile,35% Quantile,40% Quantile,45% Quantile,50% Quantile,55% Quantile,60% Quantile,65% Quantile,70% Quantile,75% Quantile,80% Quantile,85% Quantile,90% Quantile,95% Quantile,98% Quantile,99% Quantile,Mean
21.21,-100.35,Long-Range,Salient,2023/12/01,2024/02/29,-1.02,-0.82,-0.59,-0.29,-0.09,0.03,0.11,0.19,0.27,0.34,0.42,0.53,0.61,0.70,0.81,0.94,1.05,1.16,1.35,1.50,1.69,1.86,2.00,0.55
21.21,-100.35,Long-Range,Salient,2024/03/01,2024/05/31,-1.03,-0.79,-0.57,-0.28,-0.08,0.04,0.17,0.30,0.41,0.52,0.61,0.78,0.89,1.00,1.12,1.23,1.35,1.45,1.59,1.75,1.95,2.09,2.18,0.73
21.21,-100.35,Long-Range,Salient,2024/06/01,2024/08/31,-1.15,-0.97,-0.81,-0.48,-0.39,-0.32,-0.26,-0.19,-0.12,-0.08,-0.05,0.08,0.11,0.13,0.19,0.24,0.33,0.40,0.48,0.65,0.81,0.93,1.06,0.03
